project_name,filename,filepath,commit_id,parent_commit,#different_loc
Hystrix,AbstractCommand.java,hystrix-core/src/main/java/com/netflix/hystrix/AbstractCommand.java,1114a5b472,89c2569592,56
Hystrix,AbstractCommand.java,hystrix-core/src/main/java/com/netflix/hystrix/AbstractCommand.java,5b6914b3e8,c377253a02,22
Hystrix,AbstractCommand.java,hystrix-core/src/main/java/com/netflix/hystrix/AbstractCommand.java,5ce99c1e24,fe82af9866,9
Hystrix,AbstractCommand.java,hystrix-core/src/main/java/com/netflix/hystrix/AbstractCommand.java,61bb180a9d,e336976b41,35
Hystrix,AbstractCommand.java,hystrix-core/src/main/java/com/netflix/hystrix/AbstractCommand.java,6aacadc0dc,37a1695a1e,64
Hystrix,AbstractCommand.java,hystrix-core/src/main/java/com/netflix/hystrix/AbstractCommand.java,88b88e8d62,951c6f9daa,32
Hystrix,AbstractCommand.java,hystrix-core/src/main/java/com/netflix/hystrix/AbstractCommand.java,ade2b66afd,eb2ede5d80,2
Hystrix,AbstractCommand.java,hystrix-core/src/main/java/com/netflix/hystrix/AbstractCommand.java,d885372c6a,dafbded9be,922
Hystrix,AbstractCommand.java,hystrix-core/src/main/java/com/netflix/hystrix/AbstractCommand.java,f6c57d147b,af63e13439,74
Hystrix,AbstractHystrixCommand.java,hystrix-core/src/main/java/com/netflix/hystrix/AbstractHystrixCommand.java,706a0f267e,b4c3363dcf,20
Hystrix,AbstractHystrixCommandFactory.java,hystrix-contrib/hystrix-javanica/src/main/java/com/netflix/hystrix/contrib/javanica/command/AbstractHystrixCommandFactory.java,d7d29823f2,fc952f5abf,5
Hystrix,AjcUtils.java,hystrix-contrib/hystrix-javanica/src/main/java/com/netflix/hystrix/contrib/javanica/utils/ajc/AjcUtils.java,958ec5d7b4,3579733d0b,83
Hystrix,BasicCommandDefaultPropertiesTest.java,hystrix-contrib/hystrix-javanica/src/test/java/com/netflix/hystrix/contrib/javanica/test/common/configuration/command/BasicCommandDefaultPropertiesTest.java,584f3622fc,2a1b71d72a,6
Hystrix,BasicDefaultIgnoreExceptionsTest.java,hystrix-contrib/hystrix-javanica/src/test/java/com/netflix/hystrix/contrib/javanica/test/common/error/BasicDefaultIgnoreExceptionsTest.java,e902a38eb3,9a56749f88,41
Hystrix,BasicHystrixTest.java,hystrix-contrib/hystrix-javanica/src/test/java/com/netflix/hystrix/contrib/javanica/test/common/BasicHystrixTest.java,16e1af1480,bd2a6ee5f8,11
Hystrix,BasicObservableTest.java,hystrix-contrib/hystrix-javanica/src/test/java/com/netflix/hystrix/contrib/javanica/test/common/observable/BasicObservableTest.java,d3c65c7489,fd570adba7,94
