project_name,filename,filepath,commit_id,parent_commit,#different_loc
Hystrix,AbstractCommand.java,hystrix-core/src/main/java/com/netflix/hystrix/AbstractCommand.java,61bb180a9d,e336976b41,35
Hystrix,HystrixCommand.java,hystrix-core/src/main/java/com/netflix/hystrix/HystrixCommand.java,7b046ca96b,8077bcb535,31
Hystrix,HystrixPlugins.java,hystrix-core/src/main/java/com/netflix/hystrix/strategy/HystrixPlugins.java,0eb1589d85,ab1d2b9b75,8
Hystrix,TypeHelper.java,hystrix-contrib/hystrix-javanica/src/main/java/com/netflix/hystrix/contrib/javanica/utils/TypeHelper.java,c3a2282bb6,12ad3e049f,4
Hystrix,convention.gradle,gradle/convention.gradle,05c4d0660d,61bd2b059b,18
RxAndroid,OperatorWeakBindingTest.java,src/test/java/rx/operators/OperatorWeakBindingTest.java,4578386b39,9f49292dd5,40
SpongeAPI,ChatTypeMessageReceiver.java,src/main/java/org/spongepowered/api/text/channel/ChatTypeMessageReceiver.java,0477faf48f,880f5a9c52,26
SpongeAPI,DamageModifierTypes.java,src/main/java/org/spongepowered/api/event/cause/entity/damage/DamageModifierTypes.java,d5f1171eb1,4ca1b25aea,3
SpongeAPI,ExtentBufferFactory.java,src/main/java/org/spongepowered/api/world/extent/ExtentBufferFactory.java,6cb5c97d25,9f1af7ee2f,12
SpongeAPI,Location.java,src/main/java/org/spongepowered/api/world/Location.java,b34549023f,db67c60b79,38
SpongeAPI,NamedCause.java,src/main/java/org/spongepowered/api/event/cause/NamedCause.java,742093ceac,8c6067a96e,7
SpongeAPI,WeightedItem.java,src/main/java/org/spongepowered/api/util/weighted/WeightedItem.java,7ac34cb451,b9febbf0f7,2
WordPress Android,AztecEditorFragment.java,libs/editor/WordPressEditor/src/main/java/org/wordpress/android/editor/AztecEditorFragment.java,e117e56440,d5acd52387,15
WordPress Android,BlogPreferencesActivity.java,WordPress/src/main/java/org/wordpress/android/ui/prefs/BlogPreferencesActivity.java,581bdbd736,ad59f5862b,199
WordPress Android,CommentDetailFragment.java,WordPress/src/main/java/org/wordpress/android/ui/comments/CommentDetailFragment.java,9f46f667d4,ff0b90752b,110
WordPress Android,EditPostActivity.java,WordPress/src/main/java/org/wordpress/android/ui/posts/EditPostActivity.java,a4f628f33c,4017094e1f,87
WordPress Android,EditPostActivity.java,WordPress/src/main/java/org/wordpress/android/ui/posts/EditPostActivity.java,bac388aac9,fe5418b6a3,203
WordPress Android,EditPostActivity.java,WordPress/src/main/java/org/wordpress/android/ui/posts/EditPostActivity.java,f81a064a79,4e0c5457ed,904
WordPress Android,EditPostContentFragment.java,WordPress/src/main/java/org/wordpress/android/ui/posts/EditPostContentFragment.java,6a46eab728,c4016e640a,19
WordPress Android,EditPostSettingsFragment.java,WordPress/src/main/java/org/wordpress/android/ui/posts/EditPostSettingsFragment.java,8a0dd62ddd,051f9dce12,1533
WordPress Android,EditPostSettingsFragment.java,WordPress/src/main/java/org/wordpress/android/ui/posts/EditPostSettingsFragment.java,95180f868e,e0f4d27e05,3
WordPress Android,Emoticons.java,src/org/wordpress/android/util/Emoticons.java,dd07730b3f,9871abad7f,18
WordPress Android,MediaGridAdapter.java,WordPress/src/main/java/org/wordpress/android/ui/media/MediaGridAdapter.java,bbb14b9f1c,f6dfe991ff,116
WordPress Android,MediaGridFragment.java,WordPress/src/main/java/org/wordpress/android/ui/media/MediaGridFragment.java,39cc123910,ce5d91bde4,54
WordPress Android,MediaPreviewActivity.java,WordPress/src/main/java/org/wordpress/android/ui/media/MediaPreviewActivity.java,42d683d7c2,ca9948ec54,45
WordPress Android,MediaUploadService.java,WordPress/src/main/java/org/wordpress/android/ui/media/services/MediaUploadService.java,60203060f7,59a1cc8e21,9
WordPress Android,MySiteFragment.java,WordPress/src/main/java/org/wordpress/android/ui/main/MySiteFragment.java,545a6b59e9,871590ce14,53
WordPress Android,NotificationsActivity.java,src/org/wordpress/android/ui/notifications/NotificationsActivity.java,52d140158d,b935f694d8,69
WordPress Android,NotificationsDetailActivity.java,WordPress/src/main/java/org/wordpress/android/ui/notifications/NotificationsDetailActivity.java,61b4f76f1f,99c1dba0ad,66
WordPress Android,PlansActivity.java,WordPress/src/main/java/org/wordpress/android/ui/plans/PlansActivity.java,f48f9f7f44,42b8b7b613,105
