Year,Journal / Conference Name,Title,Command,Study,Focus of git commands,Purpose of mining git,Data source,,,,,,,,,,,,,,,,,,
2013,ASE,Personalized defect prediction,git blame,proposing personalized defect prediction--building a separate prediction model for each developer to predict software defects.,code changes,identify bug introduction,OSS,,,,,,,,,,,,,,,,,,
2013,ASE,Detecting and characterizing semantic inconsistencies in ported code,git blame,"investigates the types of porting errors found in practice, and how to detect and characterize potential porting errors.",code changes,identify bug introduction,OSS,,,,,,,,,,,,,,,,,,
2014,ASE,42 Variability Bugs in the Linux Kernel: A Qualitative Analysis,"git diff -U0, git diff -U2",studying 42 variability bugs collected from bug-fixing commits to the Linux kernel repository,code changes,get patches,OSS,,,,,,,,,,,,,,,,,,
2014,ASE,NeedFeed: Taming Change Notifications by Modeling Code Relevance,"git whatchanged COMMIT^!, git log COMMIT^!, git log COMMIT^, git log COMMIT.., git show COMMIT:FILENAME, git blame COMMIT -- FILENAME",mining a project’s software repository and highlights changes that a developer may need to review,code changes,collect metrics,OSS,,,,,,,,,,,,,,,,,,
2017,ASE,Automatically Generating Commit Messages from Diffs using Neural Machine Translation,git diff,developing system using Neural Machine Translation (NMT) to automatically “translate” diffs into commit messages,code changes,get patches,OSS,,,,,,,,,,,,,,,,,,
2017,ASE,Renaming and Shifted Code in Structured Merging: Looking Ahead for Precision and Performance,git diff,employing a syntax-aware lookahead mechanism that diverges from level-wise tree matching depending on the kinds of syntax elements to be matched,code changes,investigate merges,OSS,,,,,,,,,,,,,,,,,,
2017,ASE,Semantics-Assisted Code Review,git diff,"creating an invariant-mining tool chain, Getty, to support the concept of semantically-assisted code review",code changes,get patches,OSS,,,,,,,,,,,,,,,,,,
2013,EMSE,Effort estimation of FLOSS projects: a study of the Linux kernel,git show,analyzing the activity patterns within the Linux kernel project,code changes,get patches,OSS,,,,,,,,,,,,,,,,,,
2014,EMSE,Correlations between bugginess and time-based commit characteristics,"git diff, blame (szz)",investigating the correlation between a commit’s time-based characteristics and its “bugginess”,code changes,identify bug introduction,OSS,,,,,,,,,,,,,,,,,,
2015,EMSE,Green mining: a methodology of relating software change and configuration to power consumption,diff command,investigating the impact of software change on power consumption,code changes,collect metrics,OSS,,,,,,,,,,,,,,,,,,
2016,EMSE,Continuously mining distributed version control systems: an empirical study of how Linux uses Git,git log --patch,presenting a method that continuously mines all known D-VCSs of a software project to uncover the complete history of a project’s development,code changes,get patches,OSS,,,,,,,,,,,,,,,,,,
2016,EMSE,From Aristotle to Ringelmann: a large-scale analysis of team productivity and coordination in Open Source Software projects,git diff,conducting a large-scale analysis of the relation between size and productivity of software development teams,code changes,get patches,OSS,,,,,,,,,,,,,,,,,,
2016,EMSE,Studying high impact fix-inducing changes,"git diff, blame (szz)",studying high impact fix-inducing changes (HIFCs) to predict software changes that are fix-inducing,code changes,identify bug introduction,OSS,,,,,,,,,,,,,,,,,,
2017,EMSE,A repository of Unix history and evolution,"git blame -M -M -C -C, git log --follow -M20 -C20 <file path>",investigating the development history of Unix repository,code changes,identify authorship,OSS,,,,,,,,,,,,,,,,,,
2017,EMSE,License usage and changes: a large-scale study on gitHub,git command,reporting a large empirical study aimed at quantitatively and qualitatively investigating when and why developers adopt or change software licenses,license changes,get patches,OSS,,,,,,,,,,,,,,,,,,
2017,EMSE,On the correlation between size and metric validity,git command,"investigating an alternative explanation to such validation, attributing it to the confounding effect of size",code changes,get patches,OSS,,,,,,,,,,,,,,,,,,
2017,EMSE,On the diffuseness and the impact on maintainability of code smells: a large scale empirical investigation,"git diff, blame (szz)",investigating the diffuseness of code smells and their impact on code change- and fault-proneness,code changes,identify bug introduction,OSS,,,,,,,,,,,,,,,,,,
2017,EMSE,The last line effect explained,"git blame -e, git log",studying the phenomenon that the last line or statement in a micro-clone is much more likely to contain an error than the previous lines or statements,code changes,collect metrics,OSS,,,,,,,,,,,,,,,,,,
2017,EMSE,Tracing distributed collaborative development in apache software foundation projects,"git log, git show","studying on how collaborative distributed development scales beyond two people, to teams of three and more developers, when we operationalize it as synchronous distributed development",code changes,get patches,OSS,,,,,,,,,,,,,,,,,,
2013,FSE,Sample size vs. bias in defect prediction,git blame,analyzing the size of dataset in defect prediction,code changes,identify bug introduction,OSS,,,,,,,,,,,,,,,,,,
2013,FSE,Precision reuse for efficient regression verification,diff --ignore-all-space | diffstat,studying the impact of precision reuse on industrial verification problems,code changes,collect metrics,OSS,,,,,,,,,,,,,,,,,,
2014,FSE,A Large Scale Study of Programming Languages and Code Quality in Github,git log --no-merges -numstat,studying the effect of programming language on software quality,code changes,collect metrics,OSS,,,,,,,,,,,,,,,,,,
2014,FSE,Balancing Trade-Offs in Test-Suite Reduction,git diff,analyzing reduced test suites as software evolves,code changes,collect metrics,OSS,,,,,,,,,,,,,,,,,,
2014,FSE,The Plastic Surgery Hypothesis,"git reset -hard, git diff",formalizing and validating the plastic surgery hypothesis and empirically measuring the extent to which raw material for changes actually already exists in projects,code changes,get patches,OSS,,,,,,,,,,,,,,,,,,
